Fit             Iteration       K2RT            KD1             kdephos         km1             km2             kphos           
2.14101162e+03  704             1.96268940e+01  2.17250397e+02  1.12635411e+02  1.68924490e+01  1.16124628e+02  1.21350479e+02  
2.14123664e+03  264             8.84809700e+00  2.34177818e+02  9.78614500e+01  1.91188910e+01  9.74566390e+01  1.54133939e+02  
2.14363514e+03  732             3.22080910e+01  2.30887702e+02  3.49693767e+02  4.86584590e+01  1.07397348e+02  4.50218829e+02  
2.14521343e+03  179             1.70917940e+01  5.31371622e+02  8.27721660e+01  5.93068320e+01  1.16291116e+02  -1.09764855e+02 
2.15105788e+03  207             1.05969440e+01  2.18848199e+02  9.04907520e+01  1.50212460e+01  1.06271621e+02  -1.35195764e+02 
2.15249359e+03  993             3.36733980e+01  2.08057434e+02  2.35412850e+02  2.63039550e+01  1.09458870e+02  2.95434337e+02  
2.15324838e+03  912             8.49410400e+00  2.31419475e+02  1.23404790e+02  3.76329190e+01  1.04666831e+02  1.59247226e+02  
2.15529370e+03  865             1.72128330e+01  2.96159566e+02  1.14440548e+02  3.28840190e+01  1.17449512e+02  1.25617738e+02  
2.16008957e+03  51              1.75247600e+00  3.68485950e+02  3.08220750e+01  1.90539170e+01  1.72901747e+02  6.82371180e+01  
2.17247563e+03  784             1.64533610e+01  3.23871573e+02  1.07798693e+02  4.14639670e+01  1.40480827e+02  1.17815280e+02  
2.17362264e+03  634             2.25395429e+02  3.00352809e+02  3.68192398e+02  3.06332440e+01  1.22893159e+02  3.78533088e+02  
2.17374400e+03  992             1.21673820e+01  2.13776463e+02  1.16078737e+02  4.33409720e+01  1.17652159e+02  1.34789029e+02  
2.18443413e+03  830             1.05777570e+01  2.04960326e+02  9.60449480e+01  2.96212730e+01  1.08912171e+02  1.45226154e+02  
2.18674479e+03  657             1.27475100e+01  2.71387165e+02  9.69595630e+01  1.54541580e+01  1.18264672e+02  1.39858699e+02  
2.19054635e+03  769             1.18279960e+01  3.28723824e+02  1.20671132e+02  1.91099170e+01  1.13994805e+02  1.41365447e+02  
2.19059546e+03  674             1.27300500e+01  2.13427780e+02  1.25831596e+02  2.24733020e+01  1.11365501e+02  1.45100453e+02  
2.19067810e+03  117             5.47986900e+00  3.58573266e+02  1.33162315e+02  1.84692860e+01  1.52364819e+02  2.40492328e+02  
2.19075708e+03  523             1.25590578e+02  7.01384277e+02  9.58331690e+01  1.73229990e+01  1.29019445e+02  9.95027050e+01  
2.19094656e+03  570             6.81163360e+01  1.68116075e+02  5.60800966e+02  2.97540080e+01  1.12162187e+02  5.41439102e+02  
2.20242316e+03  52              3.34392700e+00  1.26957385e+03  4.98717360e+01  2.49248280e+01  1.21130519e+02  8.53739520e+01  
2.20835632e+03  917             1.16609550e+01  1.90288065e+02  1.19394505e+02  2.77726250e+01  1.16671857e+02  1.38813956e+02  
2.20922798e+03  320             4.64024500e+00  2.98887608e+02  4.71748390e+01  2.06965670e+01  1.11240462e+02  -8.46945590e+01 
2.21142345e+03  806             1.69682050e+01  2.04631076e+02  1.11542596e+02  3.30839230e+01  1.36606193e+02  1.19894950e+02  
2.21175190e+03  255             8.39760700e+00  2.82706206e+02  9.34812270e+01  2.08694050e+01  1.06196757e+02  1.50481580e+02  
2.22225952e+03  274             1.67213680e+01  2.79335928e+02  6.33418190e+01  1.90425300e+01  1.09293237e+02  8.60600590e+01  
2.22549999e+03  812             3.76660590e+01  2.16291470e+02  2.57996834e+02  2.96670620e+01  1.12096654e+02  2.56491436e+02  
2.23049440e+03  382             2.30388250e+01  5.51354738e+02  9.53554700e+01  7.93101860e+01  1.40947100e+02  9.83901660e+01  
2.23684159e+03  173             3.24405500e+00  8.58287459e+02  4.27157360e+01  2.53729550e+01  1.26105776e+02  8.35156240e+01  
2.24774455e+03  76              3.88174600e+00  3.40212664e+02  1.44660234e+02  5.04493210e+01  5.47259540e+01  2.91823114e+02  
2.25157638e+03  524             1.74283273e+02  1.75110706e+02  4.36650759e+02  2.55967790e+01  1.40189908e+02  3.90270027e+02  
2.25184689e+03  160             1.10787853e+02  1.36830396e+02  3.38606555e+02  2.21854880e+01  1.62430775e+02  3.78301117e+02  
2.25401579e+03  814             1.11192730e+01  2.11924724e+02  1.17497151e+02  2.60671430e+01  1.01978557e+02  1.81990398e+02  
2.28115017e+03  112             5.61738200e+00  3.50555131e+02  7.03492020e+01  2.17678660e+01  1.28491159e+02  -9.40292520e+01 
2.28580512e+03  265             1.37462460e+01  3.77169576e+02  2.19321920e+01  2.65609610e+01  1.12386205e+02  -3.03423630e+01 
2.30010819e+03  532             3.15469830e+01  4.11264990e+02  1.11318451e+02  2.86638250e+01  1.15466107e+02  1.41236074e+02  
2.30054994e+03  437             1.07039070e+01  3.45866882e+02  1.09810075e+02  2.27612820e+01  1.40290422e+02  1.68512731e+02  
2.30119011e+03  197             1.02758620e+01  1.84499073e+02  8.71290430e+01  5.54254700e+00  1.17465224e+02  -1.00252472e+02 
2.30224840e+03  987             1.10786570e+01  2.14224061e+02  1.18851644e+02  3.86838510e+01  1.10747905e+02  1.37123207e+02  
2.31687541e+03  81              1.11525500e+00  6.12245963e+02  2.90835080e+01  -3.80970200e+00 1.70804295e+02  8.14785300e+01  
2.31811130e+03  578             1.06636670e+01  2.18158384e+02  1.24099548e+02  2.08306160e+01  1.16248691e+02  1.43889641e+02  
2.31823826e+03  229             1.11498540e+01  4.51673003e+02  1.10740850e+02  1.93937010e+01  1.22238909e+02  -1.26814240e+02 
2.32597960e+03  492             1.20043140e+01  2.18295211e+02  1.14066014e+02  2.66838550e+01  1.15560820e+02  1.74445295e+02  
2.32998347e+03  622             1.15360450e+01  3.81800110e+02  4.03524020e+01  2.09332600e+01  1.08760531e+02  -5.91613970e+01 
2.34181091e+03  388             1.80271890e+01  4.01919882e+02  1.23098270e+02  2.06326070e+01  1.00917719e+02  -1.74942439e+02 
2.34614745e+03  900             1.29315880e+01  1.89896284e+02  1.15251246e+02  3.15127410e+01  1.38543239e+02  1.72399960e+02  
2.34743280e+03  42              3.47789300e+00  7.25473630e+02  5.73970470e+01  2.85158440e+01  1.22256601e+02  8.97268890e+01  
2.34768358e+03  507             1.33977950e+01  1.93619178e+02  1.12521541e+02  2.08137060e+01  1.14195948e+02  1.68758920e+02  
2.36653005e+03  500             1.62825240e+01  2.81704376e+02  1.10430046e+02  1.10208137e+02  1.19336812e+02  1.16071570e+02  
2.36660942e+03  886             2.76418620e+01  1.93939444e+02  3.08685099e+02  1.54255420e+01  1.09456465e+02  4.28645445e+02  
2.36662610e+03  833             1.37746220e+01  2.32977302e+02  1.13164539e+02  2.64022650e+01  1.12465915e+02  1.22772337e+02  
2.36996785e+03  518             1.55579340e+01  2.30493688e+02  1.10885650e+02  7.31316510e+01  1.24724387e+02  1.17058620e+02  
2.37674114e+03  548             2.20853890e+01  2.98869495e+02  1.02107443e+02  2.12232680e+01  1.08213041e+02  1.39446295e+02  
2.38320245e+03  733             1.70473790e+01  2.17691397e+02  1.08546484e+02  5.96295990e+01  1.03564810e+02  1.13161700e+02  
2.38555015e+03  484             1.07796530e+01  2.19439671e+02  1.08946041e+02  3.69497760e+01  1.23507988e+02  1.22960513e+02  
2.38557809e+03  216             8.63613900e+00  1.36722040e+02  7.41535890e+01  2.36220810e+01  1.25465192e+02  -8.61381270e+01 
2.38886615e+03  186             6.74294580e+01  2.02723092e+02  3.43981346e+02  2.34913720e+01  1.25373562e+02  4.20049425e+02  
2.39302679e+03  798             1.10859910e+01  3.28616480e+02  1.46350962e+02  2.96682180e+01  1.49157750e+02  1.65228261e+02  
2.39572447e+03  639             1.88476033e+02  2.01591821e+02  6.19525563e+02  2.81265260e+01  1.11012885e+02  7.01138285e+02  
2.40886985e+03  539             5.93767000e+00  1.41344504e+03  1.04864611e+02  1.94802510e+01  1.10753045e+02  1.92476189e+02  
2.41173901e+03  802             6.51804230e+01  2.19420628e+02  4.13614013e+02  3.10761670e+01  1.13184083e+02  3.77713795e+02  
2.41864638e+03  446             1.93420540e+01  1.96689110e+02  1.09138157e+02  2.26775350e+01  1.26409565e+02  1.53477591e+02  
2.41977969e+03  163             2.27705600e+00  4.11398691e+02  3.75540780e+01  1.88962390e+01  1.09896280e+02  6.67829150e+01  
2.42506437e+03  339             1.79218510e+01  7.94066848e+02  3.68617950e+01  2.20729380e+01  1.05702746e+02  3.73839530e+01  
2.42702448e+03  877             1.07597460e+01  2.33000899e+02  6.18397060e+01  2.90700460e+01  1.08199870e+02  6.80023830e+01  
2.42830585e+03  15              1.47059100e+00  3.10177080e+02  3.35256850e+01  1.43728150e+01  7.65862490e+01  1.03799476e+02  
2.42878182e+03  189             7.35744400e+00  2.43878102e+02  4.18484870e+01  2.51466340e+01  1.10305949e+02  -4.92320650e+01 
2.42955881e+03  466             1.02001420e+01  2.09856045e+02  1.16596964e+02  2.46338610e+01  1.14863939e+02  1.33002880e+02  
2.43360779e+03  767             5.69894870e+01  2.12547175e+02  2.06873985e+02  1.84588170e+01  1.08108551e+02  1.87834483e+02  
2.43391272e+03  506             1.66496970e+01  4.12987994e+02  1.01182720e+02  2.27624140e+01  1.27781813e+02  1.04325791e+02  
2.44052762e+03  599             2.41859120e+01  3.18313179e+02  1.00194534e+02  1.96579530e+01  1.09147989e+02  9.80103140e+01  
2.44080727e+03  936             1.16666190e+01  1.98031038e+02  1.11970606e+02  3.95345410e+01  1.06357966e+02  1.77412906e+02  
2.45370835e+03  632             1.78281690e+01  3.39105736e+02  7.77737120e+01  2.20447670e+01  1.05666868e+02  7.87486780e+01  
2.46490078e+03  735             9.85707000e+00  2.99944475e+02  9.75887920e+01  2.72221580e+01  1.09584497e+02  1.10845951e+02  
2.46831829e+03  938             2.45739620e+01  2.02021910e+02  1.19779722e+02  1.22667107e+02  1.23934002e+02  1.64137269e+02  
2.47396333e+03  401             6.15033930e+01  2.43147110e+02  3.61666900e+02  2.42228050e+01  1.31101982e+02  3.25966290e+02  
2.47859203e+03  368             7.78844700e+00  3.46270155e+02  8.57217740e+01  2.05112840e+01  1.04454826e+02  -1.48641937e+02 
2.48084940e+03  610             6.45658470e+01  1.87112522e+02  2.74370071e+02  2.30740940e+01  1.25457750e+02  3.40752202e+02  
2.48092603e+03  986             1.36049410e+01  2.72069372e+02  1.50945701e+02  3.75231460e+01  1.09843075e+02  1.62910235e+02  
2.48364841e+03  389             1.09644270e+01  1.41804247e+02  9.57732600e+01  1.96456780e+01  1.27691033e+02  -1.04679996e+02 
2.49610960e+03  453             1.23683510e+01  2.09807663e+02  9.48288120e+01  2.04034350e+01  1.15308641e+02  1.47426863e+02  
2.50716939e+03  372             7.00326600e+00  2.90830464e+02  1.05847589e+02  1.91493480e+01  1.03234933e+02  -1.31679698e+02 
2.51132403e+03  660             1.56442610e+01  1.95576127e+02  7.52500106e+02  3.42568400e+01  1.36028207e+02  8.50560176e+02  
2.51179204e+03  816             1.47876960e+01  3.30341802e+02  5.56133370e+01  2.95029300e+01  1.04983025e+02  8.17345870e+01  
2.51493034e+03  201             6.85096700e+00  3.48452748e+02  1.41131448e+02  2.01443430e+01  1.05507015e+02  -1.80868898e+02 
2.52178619e+03  763             2.17949320e+01  2.47163348e+02  1.08691550e+02  3.61939640e+01  1.19927689e+02  1.52926896e+02  
2.52496041e+03  254             9.84218200e+00  3.46565207e+02  5.51094330e+01  1.90097050e+01  1.07292960e+02  -8.81024020e+01 
2.52838286e+03  603             5.76932030e+01  2.19314301e+02  1.15095360e+02  4.74472090e+01  1.10228867e+02  1.43113137e+02  
2.53720071e+03  766             1.19802780e+01  2.54474746e+02  1.08848656e+02  4.23817700e+01  1.12333929e+02  1.17232487e+02  
2.53845245e+03  30              8.75257000e-01  1.18564967e+02  -2.47264730e+01 8.16810670e+01  4.94944580e+01  1.23950433e+02  
