Fit             Permutation     K2RT            KD1             kdephos         km1             km2             kphos           
1.63869973e+03  2393            3.89046700e+00  1.54376100e+00  5.64900000e-02  3.95715219e+02  1.12034770e+01  -9.31120000e-02 
1.63872585e+03  2321            3.68188100e+00  -1.21204000e-01 5.68270000e-02  2.74834180e+02  1.34389170e+01  -9.29860000e-02 
1.63873527e+03  2336            3.72042300e+00  1.16896000e-01  5.68650000e-02  3.02099885e+02  1.33863300e+01  -9.48620000e-02 
1.63880812e+03  1970            3.89676300e+00  5.03405600e+00  5.74440000e-02  3.25936590e+02  1.31286220e+01  -9.43230000e-02 
1.63884944e+03  2093            4.24786500e+00  4.36485200e+00  5.78680000e-02  2.50753289e+02  1.05962260e+01  -9.24240000e-02 
1.63890180e+03  1886            3.71945100e+00  5.10899200e+00  5.77660000e-02  3.50509274e+02  1.20811660e+01  -9.43230000e-02 
1.63901098e+03  1429            4.50297500e+00  4.84681400e+00  5.52940000e-02  2.90742396e+02  1.31003200e+01  -8.61280000e-02 
1.63902784e+03  1832            3.81737000e+00  6.32025500e+00  5.76920000e-02  3.29938449e+02  1.19877680e+01  -9.52690000e-02 
1.63929569e+03  2347            4.07356500e+00  4.58514500e+00  5.68880000e-02  3.01605937e+02  1.29871360e+01  -9.23990000e-02 
1.63937293e+03  2396            3.77237200e+00  6.10040000e-02  5.68420000e-02  3.32328321e+02  1.34310850e+01  -9.45540000e-02 
1.63949757e+03  1745            3.81529300e+00  4.93725000e+00  5.77610000e-02  3.61551998e+02  1.40132170e+01  -9.34870000e-02 
1.63970720e+03  1738            4.25483300e+00  4.92403600e+00  5.93680000e-02  3.50780294e+02  1.26569340e+01  -9.36500000e-02 
1.63978123e+03  2061            3.63169700e+00  5.08413700e+00  5.69310000e-02  3.24045065e+02  1.42410330e+01  -9.34760000e-02 
1.63998383e+03  2467            3.69366600e+00  4.55142000e+00  5.64350000e-02  2.99121375e+02  1.97684190e+01  -9.21310000e-02 
1.64006534e+03  2323            3.76841800e+00  4.31679800e+00  5.67950000e-02  3.51946236e+02  3.63725420e+01  -9.44270000e-02 
1.64013721e+03  1669            4.36225800e+00  4.90116600e+00  5.74140000e-02  3.51677617e+02  1.34799470e+01  -8.97700000e-02 
1.64014219e+03  2181            3.76624500e+00  2.40576400e+00  5.67630000e-02  3.93334989e+02  1.38129450e+01  -9.45460000e-02 
1.64019329e+03  2132            3.79006700e+00  3.59328000e-01  5.69150000e-02  4.17503369e+02  1.32240360e+01  -9.46460000e-02 
1.64028394e+03  2312            3.80950700e+00  6.99222000e-01  5.68920000e-02  3.22988300e+02  1.33461800e+01  -9.44780000e-02 
1.64039727e+03  2188            3.14750900e+00  -1.66097000e-01 5.72250000e-02  3.84467657e+02  5.84075900e+00  -9.90220000e-02 
1.64050658e+03  1834            3.91979600e+00  4.98616900e+00  5.87410000e-02  3.50226911e+02  1.26339100e+01  -9.42120000e-02 
1.64056495e+03  1402            4.14214700e+00  5.20793000e+00  5.97450000e-02  3.57705484e+02  1.35300700e+01  -9.45510000e-02 
1.64057532e+03  2407            3.80460300e+00  4.37236800e+00  5.60360000e-02  3.61239229e+02  6.52901830e+01  -9.31060000e-02 
1.64070795e+03  2147            3.93555500e+00  2.23872800e+00  5.71640000e-02  4.07217180e+02  1.58041150e+01  -9.39790000e-02 
1.64074886e+03  2237            4.05110700e+00  2.99030200e+00  5.71000000e-02  3.17296688e+02  1.32755990e+01  -9.31030000e-02 
1.64113708e+03  2019            3.98127700e+00  6.31575800e+00  5.81500000e-02  3.92343502e+02  1.07175320e+01  -9.51140000e-02 
1.64126589e+03  2381            3.74931900e+00  -1.50975000e-01 5.68020000e-02  3.92939160e+02  1.35780400e+01  -9.49110000e-02 
1.64127043e+03  2465            3.65144900e+00  -8.61590000e-02 5.63240000e-02  2.68733104e+02  1.36172230e+01  -9.20740000e-02 
1.64128837e+03  1894            4.15182500e+00  4.96658400e+00  5.84100000e-02  3.50394283e+02  1.26766750e+01  -9.42820000e-02 
1.64131442e+03  2145            3.79548400e+00  1.91809000e+00  5.68740000e-02  4.15117185e+02  1.32813080e+01  -9.46660000e-02 
1.64133383e+03  2486            3.73824400e+00  6.87198000e-01  5.57380000e-02  3.38969633e+02  1.32307320e+01  -9.34190000e-02 
1.64136217e+03  2395            4.05465000e+00  3.11551900e+00  5.78710000e-02  3.65880160e+02  1.52590460e+01  -9.18090000e-02 
1.64140190e+03  2292            3.78559400e+00  4.36154000e-01  5.68910000e-02  3.50465735e+02  1.39866810e+01  -9.19630000e-02 
1.64145069e+03  2361            3.69246500e+00  2.46743600e+00  5.66750000e-02  4.38808062e+02  1.38217930e+01  -9.51210000e-02 
1.64146276e+03  2207            3.93675700e+00  2.46537100e+00  5.70690000e-02  2.83738076e+02  1.21960060e+01  -9.39720000e-02 
1.64169477e+03  2030            3.21391600e+00  5.63825700e+00  5.39210000e-02  3.24922094e+02  1.20762310e+01  -9.23030000e-02 
1.64181131e+03  2149            3.83237300e+00  4.42651700e+00  5.68940000e-02  3.87904011e+02  1.31419370e+01  -9.44550000e-02 
1.64201341e+03  2111            3.56527300e+00  4.97586900e+00  5.71840000e-02  3.06989194e+02  1.38006660e+01  -9.41120000e-02 
1.64213064e+03  1652            3.49908800e+00  8.11637200e+00  5.74920000e-02  3.37577837e+02  1.20697960e+01  -9.52340000e-02 
1.64214834e+03  2216            3.86458500e+00  5.91768600e+00  5.68150000e-02  2.97419812e+02  1.33479640e+01  -9.13060000e-02 
1.64227733e+03  2356            3.77321100e+00  -3.73197000e-01 5.74720000e-02  3.45919681e+02  1.41111460e+01  -9.28590000e-02 
