Fit             Iteration       K1              K2              alpha           
1.00453700e+00  gen3perm47      1.52694000e-01  1.41213801e+02  8.62467000e-01  
1.00504800e+00  gen5perm47      7.79200000e-03  6.20269277e+02  8.69897000e-01  
1.00833500e+00  gen6perm49      9.39869000e-01  2.86475850e+03  8.69897000e-01  
1.01320400e+00  gen3perm49      9.91236000e-01  1.43381420e+03  8.69897000e-01  
1.02300000e+00  gen1perm40      1.24874600e+00  3.53946722e+03  9.22038000e-01  
1.03063600e+00  gen4perm47      5.80741000e-01  6.20269277e+02  1.34603300e+00  
1.07147900e+00  gen9perm38      9.76992000e-01  1.57973638e+02  9.53202000e-01  
1.08263900e+00  gen1perm41      4.59754000e-01  2.82638315e+03  9.43842000e-01  
1.08817900e+00  gen7perm41      9.39869000e-01  1.43381420e+03  8.17278000e-01  
1.10039200e+00  gen2perm41      1.08616000e-01  6.20269277e+02  1.29328700e+00  
1.10397400e+00  gen10perm41     9.91236000e-01  1.43381420e+03  1.33974800e+00  
1.11051500e+00  gen8perm38      1.01170100e+00  1.43381420e+03  8.69897000e-01  
1.11184200e+00  gen5perm38      7.79200000e-03  6.20269277e+02  1.39898900e+00  
1.11525000e+00  gen6perm41      9.91236000e-01  2.86475850e+03  1.33205000e+00  
1.11966400e+00  gen4perm41      9.91236000e-01  1.43381420e+03  1.33205000e+00  
1.11983900e+00  gen7perm38      1.38388000e-01  1.43381420e+03  8.69897000e-01  
1.11990200e+00  gen3perm38      9.91236000e-01  1.43381420e+03  8.62467000e-01  
1.12179200e+00  gen4perm38      9.39869000e-01  8.10551510e+01  1.14463700e+00  
1.12210300e+00  gen5perm41      5.80741000e-01  2.83217858e+03  1.33205000e+00  
1.12974000e+00  gen9perm41      9.76992000e-01  1.57973638e+02  1.33205000e+00  
1.13037200e+00  gen8perm41      9.39869000e-01  1.57973638e+02  8.69897000e-01  
1.13128200e+00  gen6perm38      5.19867000e-01  2.45369870e+03  1.11058800e+00  
1.13790700e+00  gen3perm41      2.13254000e-01  3.31035123e+03  9.22038000e-01  
1.14861300e+00  gen10perm38     9.91236000e-01  1.35715396e+03  9.53202000e-01  
1.15991100e+00  gen1perm38      3.49397590e+01  1.37373640e+01  1.42236700e+00  
1.16256900e+00  gen10perm14     8.98074000e-01  1.35715396e+03  8.58835000e-01  
1.16337800e+00  gen2perm38      8.58144000e-01  3.31058914e+02  1.27861200e+00  
1.24550600e+00  gen7perm17      9.91236000e-01  1.27679537e+03  8.17278000e-01  
1.24674700e+00  gen10perm17     9.05289000e-01  1.35715396e+03  1.07355800e+00  
1.26449200e+00  gen5perm14      9.91236000e-01  1.43381420e+03  9.53202000e-01  
1.27155900e+00  gen6perm17      9.91236000e-01  1.43572650e+03  8.69897000e-01  
1.27529800e+00  gen4perm17      1.06123700e+00  1.67609948e+02  8.69897000e-01  
1.27892300e+00  gen2perm17      1.52694000e-01  1.34004800e+01  1.27366700e+00  
1.28404900e+00  gen9perm17      9.76992000e-01  1.57973638e+02  7.96776000e-01  
1.28559800e+00  gen7perm14      9.91236000e-01  1.35467542e+02  8.69897000e-01  
1.29356800e+00  gen1perm17      1.16023630e+01  4.41938700e+00  1.33864600e+00  
1.29636900e+00  gen3perm14      6.91848000e-01  3.53946722e+03  1.30633800e+00  
1.31069900e+00  gen9perm14      1.09599500e+00  1.35715396e+03  1.13104600e+00  
1.31262600e+00  gen5perm17      1.06123700e+00  2.86475850e+03  1.33205000e+00  
1.31378200e+00  gen8perm17      9.91236000e-01  1.17475949e+03  1.33205000e+00  
1.31446400e+00  gen3perm17      3.77260000e-02  3.92370426e+03  1.40829400e+00  
1.31730500e+00  gen2perm12      2.00243200e+00  6.01083100e+00  8.69897000e-01  
1.31840900e+00  gen8perm14      9.91236000e-01  1.57973638e+02  1.33205000e+00  
1.31869300e+00  gen6perm14      9.91236000e-01  1.43381420e+03  9.53202000e-01  
1.32051900e+00  gen7perm12      1.38388000e-01  2.86475850e+03  8.17278000e-01  
1.32224300e+00  gen2perm14      6.91848000e-01  3.31035123e+03  1.30633800e+00  
1.32649800e+00  gen6perm12      9.39869000e-01  2.95090833e+03  8.69897000e-01  
1.33318300e+00  gen4perm14      7.79200000e-03  6.20269277e+02  1.21656800e+00  
1.34860800e+00  gen5perm12      1.06123700e+00  3.29149949e+03  1.33205000e+00  
1.35086600e+00  gen10perm13     9.05289000e-01  1.35715396e+03  9.53202000e-01  
1.35192900e+00  gen2perm13      4.93660000e-02  9.36590530e+01  6.29730000e-01  
1.35214500e+00  gen3perm12      4.23058000e-01  3.31035123e+03  9.22038000e-01  
1.35783300e+00  gen10perm12     8.98074000e-01  1.57973638e+02  9.53202000e-01  
1.36221800e+00  gen9perm12      1.01170100e+00  1.26618341e+02  7.37998000e-01  
1.36486700e+00  gen1perm14      1.04560000e-02  1.77306440e+01  9.13175000e-01  
1.36820700e+00  gen9perm13      9.09306000e-01  1.43381420e+03  1.33205000e+00  
1.36851700e+00  gen1perm13      1.95415980e+01  1.34004800e+01  1.27366700e+00  
1.37249000e+00  gen8perm12      9.91236000e-01  1.40144129e+03  9.53202000e-01  
1.37346100e+00  gen6perm13      5.80741000e-01  1.67609948e+02  1.11058800e+00  
1.38334000e+00  gen4perm12      9.39869000e-01  8.10551510e+01  1.14463700e+00  
1.38550900e+00  gen8perm13      9.91236000e-01  1.46951747e+02  1.33205000e+00  
1.39508500e+00  gen3perm13      1.06123700e+00  2.82638315e+03  1.06832600e+00  
1.40169000e+00  gen4perm13      1.52694000e-01  1.67609948e+02  8.69897000e-01  
1.40869300e+00  gen5perm13      5.80741000e-01  2.86475850e+03  1.40829400e+00  
1.40875500e+00  gen7perm13      9.39869000e-01  1.43381420e+03  9.16424000e-01  
1.41346400e+00  gen3perm35      3.77260000e-02  3.92370426e+03  8.00690000e-01  
1.41751100e+00  gen1perm12      1.65057000e-01  1.69960461e+02  1.15959500e+00  
1.43284300e+00  gen1perm35      1.93406000e-01  3.59669791e+02  1.14463700e+00  
1.43318700e+00  gen7perm35      9.91236000e-01  1.43381420e+03  1.33205000e+00  
1.44139400e+00  gen8perm35      1.38388000e-01  1.57973638e+02  1.33205000e+00  
1.44541000e+00  gen9perm45      9.91236000e-01  1.32931830e+02  9.53202000e-01  
1.44700400e+00  gen10perm35     8.98074000e-01  1.57973638e+02  9.53202000e-01  
1.44756900e+00  gen1perm45      3.20509000e-01  1.05620047e+02  1.36367400e+00  
1.44944500e+00  gen5perm35      9.39869000e-01  1.98445746e+02  1.53579900e+00  
1.45125800e+00  gen2perm35      2.13254000e-01  1.11525790e+03  1.31175300e+00  
1.45963500e+00  gen7perm45      9.91236000e-01  1.57973638e+02  1.18668900e+00  
1.46049000e+00  gen5perm45      1.38388000e-01  2.86475850e+03  1.33205000e+00  
1.46615700e+00  gen8perm45      9.39869000e-01  1.57973638e+02  8.69897000e-01  
1.46808600e+00  gen6perm45      6.38358000e-01  2.86475850e+03  1.11058800e+00  
1.47163800e+00  gen4perm35      9.39869000e-01  1.02464270e+02  1.34603300e+00  
1.47937100e+00  gen6perm35      9.91236000e-01  1.35028003e+03  1.33205000e+00  
1.48365100e+00  gen9perm35      9.91236000e-01  1.57973638e+02  9.53202000e-01  
1.49444800e+00  gen2perm45      1.26105820e+01  1.27608923e+03  1.43292200e+00  
1.51475200e+00  gen10perm45     8.98074000e-01  1.35715396e+03  9.53202000e-01  
