Fit             Iteration       K1              K2              alpha           
1.50735000e-01  2577            7.81830000e-02  2.96797880e+01  7.28564000e-01  
1.50948000e-01  2479            7.81830000e-02  2.96797880e+01  7.28564000e-01  
1.50987000e-01  2636            7.81830000e-02  2.70404600e+01  7.28564000e-01  
1.51070000e-01  2058            7.35900000e-02  2.71315690e+01  7.28564000e-01  
1.51101000e-01  2447            7.06580000e-02  2.96797880e+01  7.31048000e-01  
1.51196000e-01  1534            7.10310000e-02  2.78695090e+01  7.28564000e-01  
1.51361000e-01  1265            7.58700000e-02  2.69911740e+01  7.28564000e-01  
1.51361000e-01  2342            6.98950000e-02  2.89395920e+01  7.10280000e-01  
1.51413000e-01  2523            7.35900000e-02  2.76526120e+01  7.28564000e-01  
1.51604000e-01  2345            7.27720000e-02  2.96797880e+01  7.28564000e-01  
1.51608000e-01  2087            7.35900000e-02  2.92126410e+01  7.28564000e-01  
1.51696000e-01  2273            7.35900000e-02  2.84186590e+01  7.28564000e-01  
1.51721000e-01  2497            7.26640000e-02  2.78695090e+01  7.28564000e-01  
1.51786000e-01  2073            7.25260000e-02  2.71134260e+01  7.28564000e-01  
1.51786000e-01  2661            7.82180000e-02  3.11676580e+01  7.10280000e-01  
1.51940000e-01  1984            7.25260000e-02  2.71134260e+01  7.28564000e-01  
1.51976000e-01  2337            7.81830000e-02  2.71315690e+01  7.28564000e-01  
1.52071000e-01  2460            5.91160000e-02  3.08476890e+01  7.10280000e-01  
1.52145000e-01  1953            7.53510000e-02  2.78695090e+01  7.28564000e-01  
1.52148000e-01  2333            8.23440000e-02  2.79321100e+01  7.39839000e-01  
1.52152000e-01  2434            7.16160000e-02  2.79321100e+01  7.28564000e-01  
1.52158000e-01  2492            7.16160000e-02  2.79321100e+01  7.28564000e-01  
1.52160000e-01  2431            7.60250000e-02  2.76714080e+01  7.28564000e-01  
1.52270000e-01  1785            7.25260000e-02  2.75414820e+01  7.28564000e-01  
1.52272000e-01  1872            7.77550000e-02  2.84186590e+01  7.28564000e-01  
1.52353000e-01  2641            7.82180000e-02  3.11676580e+01  7.38135000e-01  
1.52371000e-01  1097            7.39520000e-02  2.52230860e+01  7.28564000e-01  
1.52458000e-01  2651            7.69760000e-02  3.05783930e+01  7.28564000e-01  
1.52792000e-01  1980            5.84510000e-02  2.80439720e+01  7.10280000e-01  
1.52850000e-01  2196            7.63030000e-02  3.10214920e+01  7.28564000e-01  
1.52853000e-01  2692            7.82180000e-02  3.11676580e+01  7.30004000e-01  
1.52930000e-01  2119            6.68360000e-02  2.73950850e+01  7.28564000e-01  
1.53018000e-01  2464            7.35900000e-02  2.92126410e+01  7.27660000e-01  
1.53029000e-01  1338            7.39520000e-02  2.37072990e+01  7.28564000e-01  
1.53040000e-01  2477            7.26640000e-02  2.84186590e+01  7.28564000e-01  
1.53048000e-01  1945            7.19590000e-02  2.84186590e+01  7.28564000e-01  
1.53091000e-01  2562            7.35900000e-02  3.44963050e+01  7.28564000e-01  
1.53110000e-01  2338            7.35900000e-02  2.78695090e+01  7.28564000e-01  
1.53148000e-01  2614            7.35900000e-02  2.71315690e+01  7.30004000e-01  
1.53393000e-01  1704            7.10310000e-02  2.75414820e+01  7.31048000e-01  
1.53420000e-01  2504            7.55670000e-02  2.76714080e+01  7.28543000e-01  
1.53461000e-01  1634            7.39520000e-02  2.85289960e+01  7.34311000e-01  
1.53467000e-01  1528            7.33720000e-02  3.03955810e+01  7.27481000e-01  
1.53524000e-01  2082            7.10310000e-02  2.78695090e+01  7.30004000e-01  
1.53584000e-01  1827            5.84510000e-02  2.78695090e+01  7.10280000e-01  
1.53585000e-01  1546            7.25260000e-02  2.64729140e+01  7.28564000e-01  
1.53755000e-01  1159            7.35900000e-02  2.52763960e+01  7.34311000e-01  
1.53784000e-01  2481            7.35900000e-02  2.71315690e+01  7.28564000e-01  
1.53816000e-01  1765            7.10310000e-02  2.58864490e+01  7.34311000e-01  
1.53843000e-01  2167            7.16160000e-02  2.79321100e+01  7.30496000e-01  
