Fit             Iteration       K2RT            KD1             kdephos         km1             km2             kphos           
3.52281790e+03  708             1.16369580e+02  2.52333405e+02  3.21116828e+02  2.15960899e+02  9.15845896e+02  4.35969231e+02  
3.52551720e+03  556             9.41158354e+02  2.84396768e+02  4.62284238e+02  4.86784584e+02  2.37337145e+02  5.82947910e+02  
3.59779440e+03  580             7.02694713e+02  4.26685728e+02  5.90385906e+02  7.59213808e+02  2.45282004e+02  7.57550363e+02  
3.61548915e+03  503             1.66615113e+02  9.85967054e+02  6.98349241e+02  1.77640217e+02  2.87038950e+02  9.52509570e+02  
3.61869958e+03  681             1.33548277e+02  4.89132438e+02  7.51011323e+02  8.14025767e+02  4.62131144e+02  5.32422414e+02  
3.63310105e+03  563             6.50363080e+02  6.33776760e+01  9.25459579e+02  6.15025369e+02  5.92143526e+02  6.18493760e+02  
3.64042663e+03  919             7.06185933e+02  9.58736401e+02  5.45753635e+02  8.74530620e+02  5.81215383e+02  6.98179070e+02  
3.64199798e+03  418             1.79269434e+02  8.21705100e+01  9.88645803e+02  7.63927875e+02  8.76524870e+02  6.85229139e+02  
3.65254120e+03  925             3.39544200e+01  1.80031121e+02  6.44832907e+02  9.94457966e+02  4.08520187e+02  5.03661473e+02  
3.66275421e+03  711             1.67357532e+02  9.01413837e+02  5.27254875e+02  9.29254126e+02  8.41104249e+02  7.13275898e+02  
3.67238736e+03  478             2.29190897e+02  1.93369242e+02  8.14336903e+02  5.46783722e+02  3.66122000e-01  5.80894651e+02  
3.73433732e+03  540             6.02911393e+02  6.99480178e+02  6.18811929e+02  8.22139739e+02  6.22198483e+02  8.07869090e+02  
3.73526100e+03  853             1.14670305e+02  8.13655682e+02  6.15003494e+02  1.51445716e+02  9.89144038e+02  8.60083958e+02  
3.75565616e+03  771             1.61748234e+02  2.34337723e+02  4.79053631e+02  6.22483393e+02  6.00268108e+02  6.62777821e+02  
3.75788759e+03  655             1.87068083e+02  6.36743580e+01  5.71482372e+02  9.37969627e+02  9.75196148e+02  3.88233260e+02  
3.77053297e+03  817             3.59021120e+01  9.58058518e+02  6.05191506e+02  8.45629787e+02  4.00748524e+02  4.65758947e+02  
3.77245997e+03  18              3.75350216e+02  3.00590807e+02  3.49281581e+02  2.60570000e-02  5.18363810e+01  4.77647032e+02  
3.78597578e+03  274             2.47427220e+01  5.76284415e+02  3.03357463e+02  2.81581375e+02  5.44209817e+02  2.37986284e+02  
3.82108088e+03  858             3.75648706e+02  6.21750971e+02  3.60498978e+02  5.98347240e+01  7.50070047e+02  2.38620894e+02  
3.82452614e+03  479             7.98116409e+02  8.81397426e+02  9.82701915e+02  3.23429546e+02  8.50663394e+02  6.41419114e+02  
3.84125951e+03  241             4.21840799e+02  7.43742600e+01  6.43391787e+02  8.48108670e+01  6.88377620e+01  8.86168534e+02  
3.86712421e+03  661             5.58489824e+02  6.14547400e+02  8.24367341e+02  9.37231127e+02  8.87290114e+02  5.36979483e+02  
3.87399868e+03  298             1.79273070e+02  2.78752980e+01  1.52335419e+02  2.81584147e+02  4.60226000e-01  2.37994464e+02  
3.87552396e+03  828             9.86803962e+02  9.38781020e+01  5.50322148e+02  2.77040310e+02  8.24402660e+01  7.33934847e+02  
3.91240672e+03  228             1.18952857e+02  7.17472061e+02  5.42962710e+02  5.22588790e+02  4.57239000e-01  8.95437643e+02  
3.94673651e+03  741             6.49292820e+02  6.51007180e+01  4.02484001e+02  7.28612396e+02  2.65807190e+01  2.59239014e+02  
3.95450063e+03  667             1.71778643e+02  2.31568732e+02  3.48720725e+02  8.53697940e+01  9.08945473e+02  4.91977604e+02  
3.96380472e+03  785             9.90240300e+00  1.92686978e+02  7.00990499e+02  9.14050844e+02  3.53138438e+02  6.52278235e+02  
3.97717565e+03  294             3.82217399e+02  8.41469327e+02  4.11300652e+02  2.81585667e+02  4.60857000e-01  2.75245914e+02  
3.99014784e+03  969             9.31157300e+02  5.63675200e+00  2.67949896e+02  4.37356379e+02  3.93132012e+02  1.68883544e+02  
4.01714676e+03  468             8.13857980e+02  8.39989763e+02  6.28847315e+02  7.08495670e+02  8.69029295e+02  3.98796027e+02  
4.02614888e+03  814             8.66434112e+02  5.64861435e+02  6.65481902e+02  6.35396726e+02  8.38360233e+02  4.19890298e+02  
4.02631838e+03  146             5.45869566e+02  9.24554750e+01  6.57522067e+02  1.15531000e-01  7.33037470e+01  9.17369329e+02  
4.03287490e+03  282             3.39602863e+02  2.78766900e+01  3.57390570e+02  2.81589183e+02  8.89262608e+02  2.28892278e+02  
4.13300468e+03  530             5.04017432e+02  2.77369209e+02  4.90998688e+02  6.27430514e+02  9.63559840e+01  3.09056943e+02  
4.13660541e+03  346             1.24131140e+02  1.34859190e+01  7.54774995e+02  4.32634563e+02  1.27776661e+02  5.03380736e+02  
4.14061049e+03  923             4.57675582e+02  4.63893443e+02  4.96230152e+02  6.01873319e+02  1.38894510e+02  6.97815422e+02  
4.17808363e+03  342             9.90741400e+01  8.74073095e+02  3.57531862e+02  1.63629787e+02  4.59913287e+02  2.37983557e+02  
